ILH access update for Platinum (Workramp),CX Operations,,,Opportunity Created,,Implementation Preparing for Training,Network Upsell Booster - Closed Won,,Decommission domain(s),Internal Training Session - QA,,,,,
ILH enrollments & auto report created (Workramp),CX Operations,,,,,,Network Upsell Booster - Closed Lost,,,Internal Training Session - CX,,,,,
Implementation Collateral Updated (Box),Implementation,,,,,,CSM Regular Live Customer Engagement ,,,Upcoming Release Channel Messages (Slack),,,,,
Implementation Go Live,Implementation,,,,,,Customer feedback shared with team (Aha),,,Internal Release Announcements (Slack),,,,,
Implementation Kick-off with customer,Implementation,,,,,,Items for lost renewal,,,Statutes Updated (Confluence),,,,,
Implementation Preparing for GL ,Implementation,,,,,,,,,Monthly Initiative & Pillar Updates (Box),,,,,
Implementation Preparing for Training,Implementation,,,,,,,,,KPIs Updated (Box),,,,,
Implementation Project created & resourced (Wrike),Implementation,,,,,,,,,Setup Guide Created (Confluence),,,,,
Indeavor Learning Hub Updated (Workramp),CX Operations,,,,,,,,,Customer added to PowerBI for KPIs (PowerBI),,,,,
Indeavor Talks,Product,,,,,,,,,,,,,,
Internal Release Announcements (Slack),Product,,,,,,,,,,,,,,
Internal Training Session - CX,Product,,,,,,,,,,,,,,
Internal Training Session - QA,Product,,,,,,,,,,,,,,
Internal Training Session - Revenue,Product,,,,,,,,,,,,,,
ITD refresh need identified,Implementation,,,,,,,,,,,,,,
ITD refreshed (CX App) ,CX Operations,,,,,,,,,,,,,,
Items for lost or won renewal? (CS),Customer Success,,,,,,,,,,,,,,
Items for lost or won renewal? (S),Support,,,,,,,,,,,,,,
KBAs Updated (Intercom),Support,,,,,,,,,,,,,,
Lead Qualified,Sales,,,,,,,,,,,,,,
Leads updated,Marketing,,,,,,,,,,,,,,
Monthly Initiative & Pillar Updates (Box),Product,,,,,,,,,,,,,,
Network Upsell Add On - Closed Lost,Sales,,,,,,,,,,,,,,
Network Upsell Add On - Closed Won,Sales,,,,,,,,,,,,,,
Network Upsell Booster - Closed Lost,Sales,,,,,,,,,,,,,,
Network Upsell Booster - Closed Lost,Customer Success,,,,,,,,,,,,,,
Network Upsell Booster - Closed Won,Sales,,,,,,,,,,,,,,
Network Upsell Booster - Closed Won,Customer Success,,,,,,,,,,,,,,
New Customer - Closed Lost,Sales,,,,,,,,,,,,,,
New Customer - Closed Won,Sales,,,,,,,,,,,,,,
New Feature Release,Engineering,,,,,,,,,,,,,,
Newsletter Updates (Hubspot),Marketing,,,,,,,,,,,,,,
Opportunity Closed & Reengagement date set (CS),Customer Success,,,,,,,,,,,,,,
Opportunity Closed & Reengagement date set (S),Sales,,,,,,,,,,,,,,
Opportunity Created,Sales,,,,,,,,,,,,,,
PLS Project created & resourced (Wrike),Customer Success,,,,,,,,,,,,,,
PLS project need identified (Jira) (IMP),Implementation,,,,,,,,,,,,,,
PLS project need identified (Jira) (CS),Customer Success,,,,,,,,,,,,,,
Potential Customer Outreach,Sales,,,,,,,,,,,,,,
PQ Release ILH Course (Workramp),CX Operations,,,,,,,,,,,,,,
Pricing & Packaging Defined (Confluence),Sales,,,,,,,,,,,,,,
Product Functionality Documentation Update (Confluence),Product,,,,,,,,,,,,,,
Quarterly SBX refreshes (Jira/CX App),CX Operations,,,,,,,,,,,,,,
Regression Testing Script Created (QASE),QA,,,,,,,,,,,,,,
Regression Testing Script Updated (QASE),QA,,,,,,,,,,,,,,
Release Announcement (Intercom),Product,,,,,,,,,,,,,,
Release Notes (Confluence),Product,,,,,,,,,,,,,,
Release Notes (Intercom),Product,,,,,,,,,,,,,,
Release Notes (Jira),Product,,,,,,,,,,,,,,
Renewal Closed Won,Account Management,,,,,,,,,,,,,,
Renewal Contract Proposal,Account Management,,,,,,,,,,,,,,
Renewal Lost,Account Management,,,,,,,,,,,,,,
Scribe SOPs (Scribe),Implementation,,,,,,,,,,,,,,
Setup Guide Created (Confluence),Product,,,,,,,,,,,,,,
Site Level Upsell Add On - Closed Lost,Customer Success,,,,,,,,,,,,,,
Site Level Upsell Add On - Closed Won,Customer Success,,,,,,,,,,,,,,
SOC2 data purging proof,Central Ops,,,,,,,,,,,,,,
Statutes Updated (Confluence),Product,,,,,,,,,,,,,,
Subscription increase request/need,Customer Success,,,,,,,,,,,,,,
Tech owned SBX refreshes (CX App),Engineering,,,,,,,,,,,,,,
Transition to customer success meeting?,Customer Success,,,,,,,,,,,,,,
Upcoming Release Channel Messages (Slack),Product,,,,,,,,,,,,,,
Update Athena AI Model,Support,,,,,,,,,,,,,,
Update domain subscription limit (CX App),CX Operations,,,,,,,,,,,,,,
Update Product Management GPTs (ChatGPT),Product,,,,,,,,,,,,,,
Website Updates (Website),Marketing,,,,,,,,,,,,,,
